Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.myService, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$FastClass$$1.getIndex, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyStringUtilsProperties.setUpperCase, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/core/MyService.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.CGLIB$SET_STATIC_CALLBACKS, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/App.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/controller/MyController.call, Calls: 3, TotalTime(ms): 0
Method: com/github/coderjingtao/App.main, Calls: 1, TotalTime(ms): 1810
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.CGLIB$BIND_CALLBACKS, Calls: 1, TotalTime(ms): 1
Method: com/github/coderjingtao/starter/AutoConfig.myService, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyStringUtilsProperties.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/controller/MyController.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyStringUtilsProperties.isUpperCase, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.<clinit>, Calls: 1, TotalTime(ms): 2
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.CGLIB$STATICHOOK1, Calls: 1, TotalTime(ms): 2
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.CGLIB$STATICHOOK2, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig.<init>, Calls: 1, TotalTime(ms): 1
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.setBeanFactory, Calls: 2, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyServiceProperties.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/utils/MyStringUtils.setUpperCase, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.<init>, Calls: 1, TotalTime(ms): 1
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.CGLIB$myService$0, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.<clinit>, Calls: 1, TotalTime(ms): 14
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$FastClass$$1.invoke, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.CGLIB$SET_STATIC_CALLBACKS, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$FastClass$$0.getIndex, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.CGLIB$BIND_CALLBACKS, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyServiceProperties.setMessage, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/MyServiceProperties.getMessage, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.CGLIB$STATICHOOK4, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$0.CGLIB$STATICHOOK3, Calls: 1, TotalTime(ms): 14
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.<init>, Calls: 1, TotalTime(ms): 1
Method: com/github/coderjingtao/utils/MyStringUtils.<clinit>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/App$$SpringCGLIB$$0.setBeanFactory, Calls: 2, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$FastClass$$0.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/starter/AutoConfig$$SpringCGLIB$$FastClass$$1.<init>, Calls: 1, TotalTime(ms): 0
Method: com/github/coderjingtao/core/MyService.printMessage, Calls: 3, TotalTime(ms): 0
